iter	RMSE
0	0.7336708761
1	0.7180891117
2	0.7039049302
3	0.6917273506
4	0.6785301898
5	0.666157429
6	0.6556160943
7	0.6439978992
8	0.6341227503
9	0.6230317696
10	0.6126111194
11	0.602133593
12	0.592211103
13	0.58235928
14	0.5745508404
15	0.565420605
16	0.5562835793
17	0.5487426404
18	0.5406984507
19	0.534384222
20	0.5269259685
21	0.5198729147
22	0.5123581509
23	0.50570178
24	0.4988006521
25	0.4937557276
26	0.4880496529
27	0.4833301549
28	0.4776719525
29	0.4718801446
30	0.4663557039
31	0.4610885002
32	0.4560421414
33	0.4511606708
34	0.446873669
35	0.4425592308
36	0.4389662383
37	0.4351430275
38	0.4315807633
39	0.4278328746
40	0.4241885273
41	0.420813356
42	0.4182426033
43	0.4153688445
44	0.4122507192
45	0.4090225147
46	0.4063194947
47	0.4039672527
48	0.4014360752
49	0.3993397524
50	0.3971398826
51	0.3952939957
52	0.3929497853
53	0.3905215702
54	0.3881712847
55	0.3865544655
56	0.3845822796
57	0.3826617181
58	0.3808061069
59	0.3793786998
60	0.3779553438
61	0.3763168916
62	0.3751211246
63	0.373675811
64	0.3727473911
65	0.3715367433
66	0.3702100014
67	0.3688338101
68	0.3673904317
69	0.366208589
70	0.3649994843
71	0.3637651324
72	0.3628415017
73	0.3618179107
74	0.3608832023
75	0.3600342355
76	0.3591543852
77	0.3585544756
78	0.3576763448
79	0.3567828166
80	0.3558026601
81	0.3551916959
82	0.3542838621
83	0.3535135701
84	0.3529928783
85	0.3523140528
86	0.3515351628
87	0.3510286186
88	0.3507127121
89	0.3500449866
90	0.3495457123
91	0.3487961103
92	0.3481333627
93	0.3473209951
94	0.346762618
95	0.346518719
96	0.3460562608
97	0.3457363295
98	0.3451420806
99	0.3447525483
