iter	Passed	Remaining
0	0	33
1	0	29
2	0	26
3	1	25
4	1	24
5	1	23
6	1	22
7	1	22
8	2	21
9	2	21
10	2	21
11	2	20
12	3	21
13	3	22
14	3	21
15	4	21
16	4	21
17	4	21
18	4	20
19	5	20
20	5	19
21	5	19
22	5	19
23	5	18
24	6	18
25	6	18
26	6	17
27	6	17
28	6	17
29	7	16
30	7	16
31	7	16
32	7	15
33	8	15
34	8	15
35	8	15
36	8	14
37	8	14
38	9	14
39	9	13
40	9	13
41	9	13
42	9	13
43	10	12
44	10	12
45	10	12
46	10	12
47	11	11
48	11	11
49	11	11
50	11	11
51	12	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	13	8
61	14	8
62	14	8
63	14	8
64	14	7
65	15	8
66	16	8
67	17	8
68	18	8
69	19	8
70	20	8
71	21	8
72	21	7
73	21	7
74	21	7
75	22	6
76	22	6
77	22	6
78	22	6
79	22	5
80	23	5
81	23	5
82	23	4
83	23	4
84	24	4
85	24	3
86	24	3
87	24	3
88	25	3
89	25	2
90	25	2
91	25	2
92	25	1
93	26	1
94	26	1
95	26	1
96	26	0
97	27	0
98	27	0
99	27	0
