iter	Logloss
0	0.684966869
1	0.6775768901
2	0.6696450115
3	0.6619869143
4	0.6563362235
5	0.6498703866
6	0.6453124733
7	0.6386961407
8	0.6320098207
9	0.6268745145
10	0.6213363708
11	0.6157381367
12	0.6089240892
13	0.602434293
14	0.5964575299
15	0.5905985015
16	0.5853808261
17	0.5794679011
18	0.5737509838
19	0.5681025538
20	0.5632565968
21	0.5581811008
22	0.5531102007
23	0.5481410517
24	0.5437570663
25	0.538603914
26	0.5341169705
27	0.5303011494
28	0.5264174493
29	0.5220741026
30	0.5173941841
31	0.5144048006
32	0.5104390808
33	0.5067385813
34	0.5023185948
35	0.497967908
36	0.4941534504
37	0.490120016
38	0.4872043774
39	0.4833839649
40	0.4799134017
41	0.4779245229
42	0.4748122526
43	0.4714067999
44	0.4682255895
45	0.4655133068
46	0.461824982
47	0.4586627437
48	0.4556749112
49	0.4527012996
50	0.4498983064
51	0.4471074089
52	0.4445404081
53	0.4427616072
54	0.4397546047
55	0.4370115542
56	0.4347033641
57	0.4319611386
58	0.4299921549
59	0.4276842548
60	0.425147175
61	0.4230705943
62	0.4208584055
63	0.4187727352
64	0.4173477885
65	0.415368902
66	0.4128529022
67	0.4113858983
68	0.4099555529
69	0.4079759706
70	0.4062345123
71	0.4049018022
72	0.4041458878
73	0.4021179873
74	0.4008071438
75	0.3988373213
76	0.396641835
77	0.394753615
78	0.3933063411
79	0.3916811438
80	0.3903374123
81	0.3888060908
82	0.3867797465
83	0.3847733439
84	0.3833802377
85	0.3819953359
86	0.3806504309
87	0.3796827622
88	0.3784234909
89	0.376566744
90	0.3749336823
91	0.37353421
92	0.3723933654
93	0.3708069767
94	0.369356831
95	0.3682039542
96	0.3667143772
97	0.3653593389
98	0.3647625055
99	0.3636968527
100	0.3628723781
101	0.3618580034
102	0.360536923
103	0.3593536026
104	0.3578800622
105	0.3565040108
106	0.3547718638
107	0.3533198794
108	0.3521208916
109	0.3511666396
110	0.3498470234
111	0.3483143962
112	0.3474514701
113	0.3465684171
114	0.3457066565
115	0.3445998544
116	0.3435151925
117	0.3426538842
118	0.341886661
119	0.3412133084
120	0.3404354222
121	0.3395506247
122	0.3384400223
123	0.3380238758
124	0.3366699507
125	0.3364872718
126	0.3356513943
127	0.3347743605
128	0.3338498777
129	0.332939604
130	0.3319583426
131	0.3313205767
132	0.3304756916
133	0.3295903026
134	0.328758883
135	0.328153095
136	0.3274136576
137	0.326380519
138	0.3252361425
139	0.3245724047
140	0.3239851391
141	0.3233995498
142	0.3225750964
143	0.3216153273
144	0.3207960448
145	0.3203232349
146	0.3198311575
147	0.3192160479
148	0.3185809819
149	0.3178211231
150	0.3170706423
151	0.3164028437
152	0.3155008295
153	0.3144154803
154	0.3135241698
155	0.3126662122
156	0.3119985522
157	0.311398052
158	0.3105417879
159	0.3097903217
160	0.3087521943
161	0.3081203866
162	0.3074208337
163	0.306861829
164	0.3061560745
165	0.3056152204
166	0.3051871961
167	0.3051102682
168	0.3046433444
169	0.3040828231
170	0.303300034
171	0.3024975383
172	0.3018798745
173	0.3018355087
174	0.3011859546
175	0.3006570637
176	0.3002905137
177	0.2998666242
178	0.299480281
179	0.298997283
180	0.2985528787
181	0.297981427
182	0.2976416586
183	0.2971983247
184	0.2965014686
185	0.2959953528
186	0.2959309116
187	0.2957566368
188	0.2954748343
189	0.2950745856
190	0.29447218
191	0.2936424406
192	0.2932289919
193	0.2926687014
194	0.2921375987
195	0.2915938724
196	0.290988866
197	0.2905283752
198	0.2901002763
199	0.2896369481
200	0.289479637
201	0.288749464
202	0.2885679583
203	0.2880719146
204	0.2877831132
205	0.2870506367
206	0.2864524815
207	0.2859080705
208	0.2855558157
209	0.2854489185
210	0.2851769204
211	0.2846003638
212	0.2841754934
213	0.283662684
214	0.2831716687
215	0.2828025836
216	0.282354005
217	0.2820943484
218	0.2819287971
219	0.2814699636
220	0.2812093397
221	0.2809600445
222	0.2807109884
223	0.2802819695
224	0.2800267143
225	0.2798278651
226	0.2793877541
227	0.2791306446
228	0.2787450399
229	0.2783403131
230	0.2782705273
231	0.2777172851
232	0.2771207203
233	0.276555857
234	0.2757029669
235	0.2752599358
236	0.2751799209
237	0.274922945
238	0.2746327255
239	0.2744165896
240	0.2740227449
241	0.2734735012
242	0.2730802159
243	0.272539602
244	0.2723998049
245	0.2721420343
246	0.2715932731
247	0.2715466491
248	0.2711896733
249	0.2709198227
250	0.270634744
251	0.2704103513
252	0.2700338696
253	0.2697719502
254	0.2692988599
255	0.2687453873
256	0.2683517809
257	0.2679751401
258	0.2678063753
259	0.2675410135
260	0.2673807788
261	0.2670874147
262	0.2668476452
263	0.266473631
264	0.2661462799
265	0.2659465029
266	0.265682856
267	0.2655395746
268	0.2652246238
269	0.2649678039
270	0.2647694731
271	0.2644405941
272	0.2642031188
273	0.264039558
274	0.2635608725
275	0.2632661208
276	0.2630033527
277	0.2625917357
278	0.2623888479
279	0.2621152833
280	0.2617434784
281	0.2615521427
282	0.26145003
283	0.2612475116
284	0.2611270876
285	0.2609375435
286	0.2605150589
287	0.2602178328
288	0.2598577793
289	0.2595025071
