iter	Passed	Remaining
0	169	169053
1	184	91925
2	203	67506
3	221	55236
4	231	46016
5	249	41310
6	267	37893
7	285	35415
8	303	33436
9	322	31968
10	341	30746
11	361	29726
12	379	28793
13	409	28809
14	434	28550
15	453	27864
16	471	27250
17	489	26716
18	509	26291
19	528	25873
20	548	25577
21	568	25275
22	586	24923
23	604	24601
24	622	24288
25	641	24036
26	660	23793
27	679	23601
28	699	23408
29	719	23258
30	738	23093
31	749	22663
32	769	22536
33	788	22399
34	808	22281
35	827	22159
36	847	22054
37	867	21972
38	887	21864
39	906	21760
40	926	21679
41	937	21379
42	958	21332
43	981	21316
44	1001	21261
45	1023	21223
46	1041	21124
47	1060	21025
48	1078	20932
49	1097	20843
50	1114	20747
51	1133	20660
52	1151	20569
53	1163	20378
54	1181	20299
55	1199	20219
56	1217	20147
57	1237	20102
58	1250	19948
59	1266	19849
60	1296	19958
61	1332	20160
62	1373	20421
63	1406	20566
64	1429	20568
65	1457	20629
66	1487	20717
67	1512	20732
68	1537	20743
69	1562	20759
70	1585	20745
71	1607	20721
72	1618	20551
73	1638	20507
74	1661	20495
75	1681	20445
76	1700	20386
77	1720	20337
78	1732	20199
79	1752	20152
80	1770	20088
81	1795	20103
82	1833	20257
83	1857	20250
84	1905	20517
85	1928	20498
86	1955	20521
87	1981	20539
88	2015	20630
89	2039	20624
90	2062	20600
91	2081	20545
92	2102	20502
93	2121	20449
94	2141	20399
95	2160	20347
96	2181	20303
97	2201	20260
98	2211	20127
99	2230	20076
100	2247	20000
101	2266	19950
102	2285	19905
103	2305	19860
104	2323	19808
105	2343	19763
106	2362	19720
107	2381	19668
108	2401	19631
109	2420	19583
110	2439	19535
111	2457	19483
112	2475	19434
113	2494	19384
114	2512	19334
115	2530	19285
116	2548	19232
117	2566	19180
118	2585	19139
119	2600	19073
120	2618	19019
121	2636	18972
122	2654	18925
123	2669	18859
124	2688	18822
125	2696	18701
126	2715	18663
127	2735	18633
128	2755	18602
129	2774	18565
130	2793	18529
131	2812	18492
132	2831	18454
133	2849	18417
134	2869	18385
135	2888	18347
136	2906	18306
137	2924	18265
138	2942	18224
139	2965	18213
140	2983	18176
141	3012	18202
142	3050	18283
143	3077	18294
144	3113	18356
145	3137	18351
146	3162	18350
147	3187	18348
148	3210	18337
149	3234	18326
150	3253	18294
151	3275	18271
152	3294	18240
153	3314	18210
154	3334	18178
155	3354	18146
156	3371	18103
157	3390	18069
158	3408	18029
159	3426	17986
160	3443	17945
161	3461	17905
162	3479	17866
163	3497	17827
164	3515	17788
165	3532	17748
166	3550	17711
167	3557	17619
168	3575	17579
169	3592	17539
170	3610	17502
171	3627	17463
172	3645	17425
173	3652	17337
174	3669	17299
175	3687	17262
176	3704	17226
177	3722	17189
178	3739	17153
179	3757	17117
180	3775	17082
181	3792	17047
182	3809	17009
183	3827	16974
184	3845	16940
185	3862	16904
186	3870	16825
187	3884	16778
188	3902	16745
189	3922	16720
190	3939	16687
191	3958	16660
192	3982	16650
193	3999	16618
194	4018	16587
195	4037	16562
196	4056	16533
197	4074	16504
198	4092	16474
199	4111	16447
200	4124	16394
201	4142	16364
202	4160	16335
203	4179	16306
204	4197	16277
205	4215	16248
206	4233	16219
207	4252	16192
208	4270	16164
209	4285	16123
210	4304	16094
211	4322	16067
212	4342	16043
213	4360	16015
214	4379	15990
215	4401	15974
216	4431	15988
217	4446	15949
218	4458	15900
219	4477	15873
220	4495	15845
221	4512	15815
222	4531	15787
223	4554	15776
224	4577	15765
225	4599	15751
226	4620	15735
227	4638	15706
228	4660	15689
229	4680	15670
230	4689	15610
231	4709	15591
232	4729	15569
233	4749	15548
234	4768	15523
235	4787	15498
236	4803	15464
237	4824	15446
238	4843	15423
239	4863	15402
240	4883	15380
241	4905	15364
242	4924	15341
243	4944	15318
244	4962	15294
245	4987	15286
246	5005	15260
247	5021	15227
248	5041	15204
249	5060	15182
250	5080	15161
251	5100	15138
252	5120	15117
253	5139	15095
254	5159	15074
255	5179	15051
256	5198	15029
257	5218	15008
258	5238	14986
259	5258	14965
260	5277	14943
261	5296	14918
262	5315	14895
263	5335	14874
264	5353	14849
265	5372	14824
266	5389	14796
267	5408	14773
268	5427	14748
269	5445	14722
270	5463	14696
271	5481	14670
272	5498	14643
273	5516	14617
274	5534	14591
275	5552	14564
276	5570	14539
277	5588	14514
278	5606	14488
279	5624	14462
280	5642	14436
281	5659	14409
282	5677	14384
283	5694	14357
284	5712	14332
285	5730	14307
286	5748	14281
287	5767	14257
288	5785	14232
289	5802	14207
290	5820	14182
291	5838	14156
292	5855	14130
293	5873	14104
294	5891	14079
295	5909	14055
296	5927	14030
297	5945	14006
298	5965	13985
299	5990	13978
300	6008	13954
301	6027	13930
302	6046	13907
303	6061	13878
304	6081	13858
305	6102	13840
306	6118	13812
307	6139	13794
308	6160	13775
309	6182	13760
310	6201	13739
311	6221	13719
312	6242	13701
313	6262	13682
314	6285	13668
315	6309	13657
316	6332	13644
317	6352	13624
318	6374	13608
319	6397	13594
320	6422	13586
321	6445	13571
322	6465	13551
323	6473	13506
324	6493	13486
325	6512	13464
326	6531	13443
327	6550	13419
328	6569	13398
329	6588	13376
330	6608	13356
331	6627	13333
332	6645	13310
333	6663	13287
334	6679	13258
335	6697	13236
336	6717	13215
337	6736	13194
338	6756	13173
339	6763	13129
340	6776	13095
341	6796	13076
342	6815	13055
343	6836	13036
344	6855	13015
345	6873	12993
346	6892	12971
347	6911	12949
348	6927	12921
349	6934	12879
350	6954	12858
351	6974	12839
352	6994	12820
353	7020	12811
354	7038	12788
355	7055	12763
356	7067	12729
357	7084	12704
358	7101	12680
359	7119	12657
360	7137	12633
361	7154	12610
362	7172	12586
363	7189	12562
364	7207	12539
365	7224	12515
366	7242	12491
367	7259	12468
368	7277	12444
369	7294	12420
370	7317	12405
371	7335	12383
372	7352	12359
373	7370	12336
374	7393	12322
375	7412	12301
376	7433	12284
377	7453	12264
378	7471	12241
379	7489	12219
380	7507	12196
381	7525	12174
382	7544	12153
383	7559	12127
384	7577	12104
385	7595	12082
386	7614	12061
387	7630	12035
388	7643	12005
389	7662	11984
390	7681	11963
391	7699	11941
392	7716	11918
393	7734	11896
394	7741	11857
395	7758	11834
396	7776	11811
397	7793	11788
398	7811	11766
399	7828	11743
400	7846	11721
401	7864	11698
402	7881	11675
403	7899	11652
404	7916	11629
405	7934	11607
406	7955	11590
407	7974	11570
408	7992	11548
409	7999	11511
410	8029	11506
411	8047	11485
412	8057	11452
413	8075	11430
414	8085	11397
415	8104	11376
416	8123	11356
417	8142	11337
418	8161	11316
419	8181	11298
420	8200	11278
421	8219	11258
422	8238	11237
423	8256	11216
424	8275	11196
425	8294	11176
426	8314	11157
427	8332	11135
428	8350	11115
429	8369	11094
430	8381	11065
431	8388	11029
432	8406	11008
433	8424	10987
434	8443	10966
435	8462	10947
436	8481	10927
437	8500	10907
438	8507	10872
439	8526	10851
440	8544	10830
441	8563	10810
442	8581	10789
443	8599	10768
444	8619	10749
445	8637	10729
446	8656	10709
447	8675	10689
448	8694	10669
449	8713	10649
450	8732	10629
451	8750	10609
452	8769	10589
453	8788	10569
454	8800	10541
455	8818	10520
456	8836	10499
457	8854	10478
458	8873	10458
459	8891	10438
460	8910	10417
461	8927	10396
462	8938	10366
463	8956	10345
464	8974	10325
465	8994	10306
466	9013	10286
467	9043	10279
468	9063	10261
469	9072	10231
470	9091	10211
471	9109	10190
472	9128	10170
473	9147	10150
474	9166	10131
475	9185	10111
476	9203	10091
477	9221	10070
478	9240	10050
479	9258	10029
480	9276	10009
481	9297	9991
482	9315	9971
483	9322	9938
484	9340	9918
485	9358	9897
486	9376	9877
487	9394	9856
488	9412	9836
489	9431	9815
490	9449	9796
491	9470	9778
492	9489	9759
493	9508	9739
494	9526	9718
495	9544	9698
496	9563	9679
497	9583	9660
498	9592	9630
499	9613	9613
500	9632	9594
501	9652	9575
502	9671	9556
503	9690	9536
504	9709	9516
505	9727	9496
506	9745	9476
507	9763	9456
508	9782	9436
509	9800	9416
510	9818	9395
511	9836	9375
512	9854	9355
513	9873	9335
514	9890	9314
515	9909	9295
516	9928	9275
517	9946	9255
518	9965	9235
519	9983	9215
520	9998	9192
521	10017	9172
522	10036	9153
523	10068	9146
524	10086	9126
525	10104	9105
526	10122	9085
527	10140	9065
528	10159	9045
529	10174	9022
530	10192	9002
531	10210	8982
532	10229	8962
533	10247	8942
534	10266	8923
535	10287	8905
536	10311	8890
537	10334	8874
538	10354	8856
539	10373	8836
540	10392	8817
541	10410	8797
542	10429	8777
543	10448	8758
544	10455	8729
545	10475	8710
546	10497	8693
547	10516	8674
548	10528	8649
549	10547	8629
550	10567	8611
551	10586	8591
552	10604	8572
553	10623	8552
554	10642	8533
555	10663	8515
556	10684	8497
557	10705	8479
558	10724	8460
559	10742	8440
560	10749	8412
561	10768	8392
562	10787	8372
563	10808	8355
564	10830	8338
565	10852	8321
566	10871	8301
567	10890	8283
568	10909	8263
569	10929	8245
570	10951	8228
571	10971	8209
572	10991	8190
573	11011	8172
574	11031	8153
575	11054	8137
576	11088	8129
577	11108	8110
578	11129	8092
579	11149	8073
580	11169	8055
581	11192	8038
582	11217	8023
583	11241	8007
584	11268	7993
585	11290	7976
586	11316	7961
587	11339	7945
588	11359	7926
589	11381	7909
590	11401	7890
591	11418	7869
592	11437	7849
593	11455	7830
594	11463	7802
595	11481	7782
596	11500	7762
597	11520	7744
598	11540	7725
599	11560	7707
600	11580	7688
601	11600	7669
602	11610	7644
603	11629	7624
604	11646	7604
605	11653	7576
606	11657	7547
607	11678	7529
608	11695	7509
609	11702	7482
610	11720	7461
611	11738	7441
612	11755	7421
613	11773	7401
614	11790	7381
615	11799	7355
616	11817	7335
617	11826	7310
618	11843	7290
619	11861	7269
620	11878	7249
621	11896	7229
622	11908	7206
623	11915	7179
624	11932	7159
625	11950	7139
626	11968	7120
627	11986	7099
628	12003	7080
629	12021	7060
630	12039	7040
631	12056	7020
632	12066	6995
633	12086	6977
634	12122	6967
635	12140	6948
636	12157	6928
637	12175	6908
638	12192	6888
639	12210	6868
640	12228	6848
641	12245	6828
642	12263	6808
643	12282	6789
644	12300	6769
645	12317	6749
646	12324	6724
647	12342	6704
648	12360	6684
649	12377	6665
650	12384	6639
651	12402	6619
652	12416	6598
653	12434	6578
654	12451	6558
655	12472	6540
656	12498	6525
657	12516	6505
658	12525	6481
659	12544	6462
660	12555	6439
661	12573	6419
662	12590	6399
663	12608	6380
664	12615	6355
665	12632	6335
666	12650	6315
667	12668	6296
668	12685	6276
669	12703	6256
670	12721	6237
671	12740	6218
672	12759	6199
673	12779	6180
674	12798	6162
675	12818	6143
676	12838	6125
677	12857	6106
678	12875	6087
679	12886	6064
680	12905	6045
681	12912	6020
682	12933	6002
683	12951	5983
684	12969	5964
685	12987	5944
686	13004	5925
687	13022	5905
688	13041	5886
689	13058	5867
690	13076	5847
691	13094	5828
692	13129	5816
693	13140	5793
694	13158	5774
695	13176	5755
696	13194	5736
697	13213	5716
698	13231	5697
699	13250	5678
700	13269	5660
701	13287	5640
702	13294	5616
703	13309	5596
704	13327	5576
705	13346	5557
706	13364	5538
707	13382	5519
708	13400	5500
709	13418	5480
710	13436	5461
711	13455	5442
712	13460	5418
713	13478	5398
714	13496	5379
715	13514	5360
716	13532	5341
717	13557	5324
718	13576	5306
719	13583	5282
720	13596	5261
721	13614	5242
722	13633	5223
723	13651	5204
724	13671	5185
725	13690	5167
726	13711	5148
727	13730	5130
728	13752	5112
729	13771	5093
730	13782	5071
731	13798	5051
732	13818	5033
733	13838	5014
734	13855	4995
735	13874	4976
736	13892	4957
737	13910	4938
738	13928	4919
739	13935	4896
740	13952	4876
741	13969	4857
742	13986	4837
743	14004	4818
744	14021	4799
745	14039	4780
746	14056	4760
747	14074	4741
748	14092	4722
749	14109	4703
750	14128	4684
751	14161	4670
752	14180	4651
753	14199	4632
754	14218	4613
755	14236	4594
756	14255	4576
757	14273	4557
758	14290	4537
759	14307	4518
760	14319	4497
761	14337	4477
762	14354	4458
763	14371	4439
764	14389	4420
765	14407	4401
766	14424	4381
767	14442	4362
768	14459	4343
769	14477	4324
770	14494	4305
771	14511	4285
772	14529	4266
773	14546	4247
774	14565	4228
775	14585	4210
776	14603	4191
777	14620	4171
778	14638	4152
779	14656	4133
780	14673	4114
781	14691	4095
782	14709	4076
783	14727	4057
784	14744	4038
785	14762	4019
786	14780	4000
787	14797	3981
788	14815	3961
789	14832	3942
790	14850	3923
791	14867	3904
792	14885	3885
793	14903	3866
794	14920	3847
795	14938	3828
796	14955	3809
797	14972	3790
798	14990	3771
799	15007	3751
800	15025	3732
801	15042	3713
802	15060	3694
803	15078	3675
804	15096	3656
805	15113	3637
806	15131	3618
807	15148	3599
808	15183	3584
809	15201	3565
810	15216	3546
811	15233	3527
812	15252	3508
813	15259	3486
814	15276	3467
815	15294	3448
816	15312	3429
817	15329	3410
818	15347	3391
819	15364	3372
820	15376	3352
821	15393	3333
822	15411	3314
823	15428	3295
824	15446	3276
825	15463	3257
826	15481	3238
827	15488	3217
828	15505	3198
829	15523	3179
830	15540	3160
831	15558	3141
832	15575	3122
833	15585	3102
834	15603	3083
835	15623	3064
836	15641	3046
837	15659	3027
838	15676	3008
839	15694	2989
840	15713	2970
841	15731	2951
842	15748	2933
843	15766	2914
844	15783	2895
845	15801	2876
846	15819	2857
847	15837	2838
848	15844	2817
849	15861	2799
850	15879	2780
851	15899	2761
852	15917	2743
853	15935	2724
854	15952	2705
855	15970	2686
856	15988	2667
857	16005	2648
858	16023	2630
859	16041	2611
860	16058	2592
861	16075	2573
862	16093	2554
863	16111	2536
864	16128	2517
865	16146	2498
866	16165	2479
867	16203	2464
868	16221	2445
869	16240	2426
870	16259	2408
871	16277	2389
872	16296	2370
873	16315	2352
874	16333	2333
875	16351	2314
876	16369	2295
877	16388	2277
878	16395	2256
879	16412	2238
880	16431	2219
881	16449	2200
882	16467	2182
883	16486	2163
884	16504	2144
885	16522	2125
886	16532	2106
887	16550	2087
888	16559	2067
889	16578	2049
890	16588	2029
891	16605	2010
892	16626	1992
893	16648	1973
894	16666	1955
895	16685	1936
896	16704	1918
897	16723	1899
898	16741	1880
899	16759	1862
900	16778	1843
901	16796	1824
902	16815	1806
903	16833	1787
904	16851	1768
905	16870	1750
906	16888	1731
907	16905	1712
908	16923	1694
909	16941	1675
910	16960	1656
911	16977	1638
912	16995	1619
913	17012	1600
914	17030	1582
915	17048	1563
916	17065	1544
917	17083	1525
918	17100	1507
919	17118	1488
920	17135	1469
921	17152	1451
922	17170	1432
923	17188	1413
924	17226	1396
925	17244	1378
926	17261	1359
927	17278	1340
928	17296	1321
929	17313	1303
930	17331	1284
931	17338	1265
932	17355	1246
933	17373	1227
934	17390	1208
935	17407	1190
936	17429	1171
937	17446	1153
938	17464	1134
939	17482	1115
940	17499	1097
941	17517	1078
942	17535	1059
943	17552	1041
944	17570	1022
945	17588	1003
946	17605	985
947	17623	966
948	17640	948
949	17661	929
950	17681	911
951	17688	891
952	17698	872
953	17715	854
954	17733	835
955	17751	817
956	17769	798
957	17786	779
958	17804	761
959	17822	742
960	17839	723
961	17857	705
962	17876	686
963	17895	668
964	17913	649
965	17930	631
966	17948	612
967	17965	593
968	17983	575
969	18000	556
970	18018	538
971	18036	519
972	18053	500
973	18071	482
974	18081	463
975	18098	445
976	18115	426
977	18134	407
978	18152	389
979	18170	370
980	18187	352
981	18206	333
982	18225	315
983	18263	296
984	18282	278
985	18300	259
986	18319	241
987	18337	222
988	18356	204
989	18374	185
990	18393	167
991	18411	148
992	18430	129
993	18449	111
994	18467	92
995	18486	74
996	18504	55
997	18522	37
998	18540	18
999	18559	0
